date,demand,marketing_event,holiday
2026-06-01,118,0,0
2026-06-02,121,0,0
2026-06-03,125,0,0
2026-06-04,123,0,0
2026-06-05,137,1,0
2026-06-06,151,1,0
2026-06-07,143,0,1
2026-06-08,126,0,0
2026-06-09,129,0,0
2026-06-10,132,0,0
2026-06-11,135,0,0
2026-06-12,148,1,0
2026-06-13,160,1,0
2026-06-14,146,0,1
2026-06-15,131,0,0
2026-06-16,134,0,0
2026-06-17,139,0,0
2026-06-18,141,0,0
2026-06-19,154,1,0
2026-06-20,168,1,0
2026-06-21,152,0,1
2026-06-22,137,0,0
2026-06-23,140,0,0
2026-06-24,144,0,0
2026-06-25,147,0,0
2026-06-26,161,1,0
2026-06-27,174,1,0
2026-06-28,158,0,1
2026-06-29,143,0,0
2026-06-30,146,0,0
